genus,species
Pacifastacus,leniusculus
Callorhinus,ursinus
Fundulus,parvipinnis
Salmo,salar
Gasterosteus,aculeatus
Oncorhynchus,clarkii
Gila,bicolor_mohavensis
Cyprinodon,sp.1
Cottus,cognatus
Alosa,pseudoharengus
Myrmecocystus,mimicus
Myrmecocystus,romainei
Myrmecocystus,depilis
Drosophila,angularis
Drosophila,auraria
Drosophila,biauraria
Drosophila,bipectinata
Drosophila,bizonata
Drosophila,bocki
Drosophila,brachynephros
Drosophila,curvispina
Drosophila,daruma
Drosophila,elegans
Drosophila,ficusphila
Drosophila,kanekoi
Drosophila,lacertosa
Drosophila,lacteicornis
Drosophila,lutescens
Drosophila,nigromaculata
Drosophila,orientacea
Drosophila,quadrilineata
Drosophila,ruberrima
Drosophila,rufa
Drosophila,sternopleuralis
Drosophila,suzukii
Drosophila,takahashii
Drosophila,unispina
Hirtodrosophila,histrioides
Scaptodrosophila,bryani
Scaptodrosophila,coracina
Scaptodrosophila,dorsocentralis
Scaptomyza,pallida
Gonocephalum,simplex
Impatiens,parviflora
Ligustrum,vulgare
Nerium,oleander
Phoenix,canariensis
Sorbus,toctminlis
Teucrium,chamaedrys
Vinca,minor
Vitis,vinifera
Ulvaria,oxysperma
Gayralia,sp.1
Clupea,herengus
Gillichthys,mirabilis
Dasya,baillouviana
Sceloporus,jarrovi
Antarctopsocus,jeanneli
Halmaeusa,atriceps
Chirodica,chalcoptera
Glossina,pallidipes
Aegopodium,podagraria
Asarum,europaeum
Ficafia,verna
Geranium,robertianum
Hedera,helix
Helleborus,foetidus
Messor,capitatus
Pheidole,pallldula
Plagiolepis,pygmaea
Tetramorium,nigerrimum
Tetramorium,semilaeve
Ctenophorus,fordi
Podacarus,auberti
Halozetes,belgicae
Halozetes,fulvus
Halozetes,marinus
Halozetes,marionensis
Plethodon,glutinosus
Dasyatis,sabina
Rana,virgatipes
Ambystoma,macrodactylum
Litoria,gracilenta
Myro,kerguelenensis
Prinerigone,vagans
Linepithema,humile
Myrmecocystus,mexican
Mya,arenaria
Gemma,gemma
Mulinia,lateralis
Desmognathus,fuscus
Eurycea,bislineata
Hyla,labialis
Lithobates,sylvatica
Taricha,torosa
Atrichum,undulatum
Pseudacris,triseriata
Anguilla,dieffenbachii
Galaxias,fasciatus
Cheimarrichthys,fosteri
Galaxias,maculatus
Retropinna,retropinna
Branchinecta,paludosa
Eurycea,longicauda
Eurycea,lucifuga
Ambystoma,maculatum
Eurycea,multiplicata
Isotoma,klovstadi
Cryptopygus,cisantarcticus
Friesea,grisea
Etheostoma,cragini
Onychiurus,vontoernei
Tetracanthella,afurcata
Pogonichthys,macrolepidotus
Paa,spinosa
Poeciliopsis,monacha
Poeciliopsis,monacha_lucida
Lacerta,agilis
Poeciliopsis,monacha_occidentalis
Dipsosaurus,dorsalis
Zoarces,viviparus
Desmarestia,viridis
Celmisia,haastii
Anisotome,imbricata
Dracophyllum,muscoides
Celmisia,viscosa
Hectorella,caespitosa
Poa,colensoi
Lagopus,mutus hyperboreus
Dumontia,contorta
Lagopus,lagopus
Lagopus,mutus
Sphaerotrichia,divaricata
Desmarestia,aculeata
Dictyosiphon,foeniculaceus
Bufo,boreas
Silene,acaulis
Rana,pipiens
Eriogonum,latifolium
Eriogonum,fasciculatum
Atriplex,hymenelytra
Baccharis,pilularis
Atriplex,leucophylla
Encella,farinosa
Salvia,leucophylla
Salvia,mohavensis
Bromus,tectorum
Bromus,rubens
Eriodictyon,californicum
Artemisia,californica
Poeciliopsis,occidentalis
Spea,hammondii
Cophosaurus,texanus
Eleutherodactylus,coqui
Eleutherodactylus,portoricensus
Haplogloia,andersonii
Hyla,chloris
Hyla,gracilenta
Hyla,lesueuri
Hyla,glauerti
Hyla,rubella
Hyla,rothi
Limnodynastes,peroni
Hyla,caerulea
Cyclorana,brevipes
Rattus,fuscipes
Crinia,signifera
Hyla,ewingi
Hyla,peroni
Limnodynastes,dorsalis
Pseudophryne,bibroni
Limnodynastes,tasmaniensis
Crinia,parainsignifera
Desmarestia,herbacea
Donax,serra
Donax,sordidus
Bullia,rhodostoma
Hyla,aurea
Hyla,phyllochroa
Crinia,victoriana
Hyla,alpina
Ctenomys,talarum
Desmarestia,willii
Liolaemus,fabiani
Palirhoeus,eatoni
Tinocladia,falklandica
Dictyosiphon,hirsutus
Trachynema,groenlandicum
Todus,mexicanus
Lanius,collaris
Spalacopus,cyanus
Acomys,Russatus
Tamias,minimus
Cyclopes,didactylus
Agosia,chrysogaster
Catostomus,clarkii
Cyprinodon,macularius
Gila,elegans
Gila,intermedia
Gila,robusta
Meda,fulgida
Rhinichthys,cobitis
Xyrauchen,texanus
Gigartina,teedii
Anolis,distichus
Anolis,sagrei
Metacarcinus,magister
Laminaria,longicruris
Cryptopygus,antarcticustravei
Tullbergia,bisetosa
Sceloporus,magister
Zootoca,vivipara
Anolis,cybotes
Anolis,shrevei
Anolis,marcanoi
Anolis,krugi
Anolis,pulchellus
Anolis,semilineatus
Anolis,roquet
Trapelus,savignii
Laudakia,stellio
Takydromus,formosanus
Takydromus,hsuehshaner
Takydromus,stejnegeri
Sphenomorphus,incognitus
Sphenomorphus,taiwanensis
Xantusia,vigilis
Sceloporus,grammicus
Eremias,multiocellata
Urosaurus,ornatus
Petrosaurus,mearnsi
Ameiva,festiva
Anolis,carolinensis
Cnemidophorus,tigris
Lepidophyma,flavimaculatum
Sceloporus,malachiticus
Sceloporus,occidentalis
Sceloporus,variabilis
Podarcis,tilliguerta
Diamesa,sp.1
Calathus,melanocephalus
Trimeresurus,gracilis
Protobothrops,mucrosquamatus
Trimeresurus,stejnegeri
Takydromus,septentrionalis
Anguilla,australis
Uloma,impressa
Melanotus,sp.1
Cucujus,clavipes
Parcoblatta,pennsylvanica
Canthon,humectus_hidalgoensis
Bugula,californica
Thamnophis,elegans
Nacella,concinna
Urosaurus,auriculatus
Urosaurus,clarionensis
Agkistrodon,contortrix
Tamiasciurus,hudsonicus
Trachylepis,striata
Uta,stansburiana
Sceloporus,graciosus
Eciton,burchellii
Eremias,argus
Rana,clamitans
Ambystoma,tigrinum
